File Path: F:\Lewis Lab\Macy Castaneda\Three-Point-Bending 2022-10-26\C18-RR-M-RF 10-26-2022 1 10 29 PM\Collect Data - (Timed).txt   
Test: 3-point bend for mouse bone
Test Run: C18-RR-M-RF
Date: 10/26/2022 1:09:04 PM


Ch 1 Displacement 	Ch 1 Force 	Ch 2 Torque 	Aux Input 5 	Running Time 
mm	kN	kN·mm	V	sec
-0.941419624723494	-2.81754173338413E-05	-0.000535259023308754	-0.00182941555976868	4.6416015625
-0.945085310377181	6.27682283520699E-05	7.72571220295504E-05	0.00147223472595215	4.6669921875
-0.953006732743233	-2.80217491090298E-05	-0.000590236508287489	0.000586658716201782	4.6923828125
-0.956946634687483	-3.86493057012558E-05	-0.0013233934296295	0.000610947608947754	4.7177734375
-0.961679208558053	-7.56466761231422E-06	0.0004832033009734	0.00193580985069275	4.7431640625
-0.965338957030326	0.000166532695293427	-0.000232085658353753	0.00150904059410095	4.7685546875
-0.971043133176863	-0.000367267072200775	-0.000691670633386821	0.000750273466110229	4.7939453125
-0.97568630008027	4.26254700869322E-06	0.000465463381260633	0.0010506808757782	4.8193359375
-0.979852629825473	-1.27474777400494E-06	-0.000362620747182518	0.000236332416534424	4.8447265625
-0.987255596555769	8.1199686974287E-06	-0.00102984660770744	0.0013008713722229	4.8701171875
-0.992345856502652	-2.11590677499771E-05	0.00031376612605527	0.00128120183944702	4.8955078125
-0.997519469819963	0.000255288332700729	0.00112066476140171	0.00196009874343872	4.9208984375
-1.00165605545044	0.000213118612766266	-0.00019512748986017	0.000458657741546631	4.9462890625
-1.00795621983707	4.74031567573547E-05	-3.48978210240602E-05	0.00151351094245911	4.9716796875
-1.01106171496212	5.658308416605E-05	-0.000461796676972881	0.00173598527908325	4.9970703125
-1.01712939795107	7.41134881973267E-05	-6.7234766902402E-05	0.000810623168945313	5.0224609375
-1.02381710894406	-0.000120498590171337	0.000243819144088775	0.0012911856174469	5.0478515625
-1.02985498961061	0.000145043596625328	0.000584032153710723	0.00113561749458313	5.0732421875
-1.03030202444643	0.000117914170026779	-0.000272244913503528	0.000626891851425171	5.0986328125
-1.03976728860289	1.98354236781597E-05	-0.000220538408029824	0.00122085213661194	5.1240234375
